HMDB,Name,CR,CR,CR,CR,CR,CR,CR,CR,CR,CR,CR,TF,TF,TF,TF,TF,TF,TF
HMDB02329,Oxalate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMDB00965,Hypotaurine,10243493.97,5117352.864,7320145.242,18739804.96,2352893.322,6717017.541,2784989.031,4106960.688,1309957.371,559739.037,6866598.363,4251576.981,2809435.254,3238952.793,1587520.782,9218776.377,1175970.855,4793370.285
HMDB00251,Taurine,492093394,500928680.9,497721110,528841207.5,218157346.9,341619717.6,681993673.5,334039627,453625653.5,722105466.4,249777693.2,292230623.2,330983884.9,169012456.2,946392866.2,884842052.4,228150859,185977756.5
NA,C3H4O2(3),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMDB00126,Glycerol-3-Phosphate,10319934.57,9020216.58,7164185.043,4874720.523,2146362.993,3137155.644,6845258.607,1301714.088,3089067.915,8744243.877,3232097.616,965732.274,1158751.005,3652319.943,3773008.494,4044933.156,546724.569,2858605.827
HMDB01721,Phospho-L-serine,0,0,0,0,0,0,0,0,24152.931,18489.276,15088.32,0,0,0,0,0,41060.343,0
HMDB06293,L-erythrulose,721269996.8,674824189.1,680189348.6,852881106.4,653780807.4,622560554.1,692698237,893103398.5,541077124.4,363197943.7,394718736.9,796538180.7,691709941.6,614074558.4,618420341.2,849249756.4,637623795.9,536296755.5
HMDB00943,L-threonate,445555939.3,574307885.3,519753495.4,364979432,425102422.2,349055032.4,833986792.9,239983400,228302943.8,374174488.5,299922619.2,459594867.7,218876934.3,411385421.2,379725243.4,486662014.1,296842882,464843843.1
HMDB01209,Allantoate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMDB01321,D-Erythrose 4-phosphate,0,88983.24,75786.837,30582.63,0,0,0,0,88888.386,24946.623,94299.213,0,0,17085.276,401407.062,0,0,0
HMDB01511,N-phosphocreatinate,279117.957,72066.78,206067.96,115247.118,35345.211,42678.09,0,0,0,16235.973,0,0,154337.403,373920.507,0,0,0,0
HMDB00019,3-Methyl-2-Oxobutanoate,702539851.9,600176696.9,688944603.7,770113779.9,681543131.9,550225351,763663886.9,670834456.2,816079243.6,531582307.9,443051989.4,667671866.2,646565515.6,693392695.7,417863161.9,580688105.9,359326379.3,514447799.9
HMDB00754,beta-hydroxy-beta-methylbutyrate,183373034.9,125081111.2,129915384.4,197839678.2,177834122.7,152158644.8,266147097.5,107823676.2,217456935,229359494.6,209607502.8,159610560.9,134842052.7,462292160.3,126410116.6,106694725.4,357363772.4,160912669.1
HMDB00292,Xanthine,98698996.52,251235408.2,294744939.8,78357493.57,41805132.92,82707331.96,212832108.4,163007963.5,207403971.4,252978028.9,53760503.08,30041688.75,35627150.57,69920182.38,209358688,164222957.5,347213981.7,350522414.3
HMDB03349,(S)-dihydroorotate,495042.756,795039.537,930576.825,582417.423,810194.184,944654.823,417950.649,667765.752,318355.134,347402.952,666085.701,2358715.251,1015849.986,1529614.569,461330.007,633473.886,706606.425,445876.908
NA,"7,9-dihydro-1H-purine-2688(3H)-trione",1137126347,1203466409,1058289795,1039154059,694313851.1,757658032.5,2325697516,676270049.5,1072180848,929726136.2,220161079.4,1100218280,1308840741,1637038919,769661291.6,1026183997,1143899050,370514891.5
HMDB00828,N-Carbamoyl-L-aspartate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMDB30097,5-Hydroxyisourate,77551260.85,89699945.33,104075723.9,95404520.87,99385331.52,86739525.61,130782323.4,60884465.12,82670011.34,76355130.17,35243595.02,109887247.9,126804502.9,139530161.2,75024693.64,77307124.42,76619527.19,38799844.56
HMDB01128,5-Phospho-beta-D-ribosylamine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMDB00624,(R)-2-hydroxy-4-methylpentanoate,39109569.74,27076711.86,23664281.22,46455673.07,26758153.33,25333899.07,33734718.49,28625379.66,42729902.68,31802091.37,25926500.7,22256550.47,30780437.87,57353608.41,28942291.09,26907850.23,55677687.72,26450449.28
NA,4-nitrophenolate,10629204.88,8576477.706,9952157.238,11011566.6,8771008.284,10208704.27,8527618.569,8800349.826,9429081.087,11044073.51,11704507.21,11393522.39,9383662.608,8501795.664,9962766.786,9198156.102,10669501.44,10565265.68
HMDB02266,2-methylglutaconic acid,182026079.8,148603486.1,148077422.7,260071825.9,153307569.7,152341282.7,191604654.9,283859672.3,115149456.9,63922488.5,132215625.3,230853238.2,183355885.7,140754705.5,135145658.4,335845940.8,178412123.3,196979577
HMDB00448,adipic acid,11963938.94,11545882.61,11032523.16,11832100.46,10978136.56,12236583.43,12193068.22,11757786.76,9615547.158,11811270.6,8730656.976,11290789.58,10387995.38,12578486.41,9794038.191,11479978.75,12672821.24,9084116.34
HMDB00182,lysine,82812639.03,70563070.15,66276160.97,73766621.12,76280914.64,84396658.5,91397039.62,91181908.33,75674487.84,62990919.06,79982501.83,51880069.14,89919756.87,92434718.03,90752880.03,82214460.47,87150082.93,65896651.85
HMDB01241,2-aminomuconate,1495467.09,2224950.639,1683285.354,1281964.557,1958054.484,1747765.542,2061571.566,1632675.042,1755071.394,1645885.773,1975990.326,1794696.603,1500309.129,1853485.173,1906237.437,790153.596,2119377.627,1733628.642
HMDB00225,Oxoadipate,10653423.11,8968988.787,8677011.525,12782862.26,7470132.408,8502864.897,9686708.949,14566028.32,7851157.686,7176600.804,8629574.349,12039337.97,8460971.952,7830192.609,8966959.869,15079620.4,11052670.17,11883427.31
HMDB00450,erythro-5-hydroxy-L-lysinium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMDB00517,arginine,48325543.75,30572059.78,56335528.36,95311193.89,77093969.58,71890630.93,44920426.16,48370771.3,31766104.65,35910430.49,57949254.75,36711608.96,83553839.6,56376565.4,55669936.5,49831217.58,33666971.03,113667191.4
HMDB03974,oxalatosuccinate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,4-Nitrophenyl sulfate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMDB01265,L-Fucose 1-phosphate,0,0,16885.791,19859.463,10559.484,0,0,0,0,178468.602,116384.139,0,0,0,33835.23,0,20954.115,0
HMDB01254,D-Glucosamine 6-phosphate,377944.809,499529.076,308461.851,391734.681,204892.092,231870.69,712529.574,313677.285,498648.813,679692.636,263022.339,263319.48,301331.526,243412.299,411003.96,936070.89,230957.775,455658.918
HMDB01316,6-Phosphogluconic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMDB00500,4-hydroxybenzoate/Gentisate aldehyde,26050440.73,13174064.25,9722464.293,557988345.5,20072001.07,9557142.69,13685080.14,38821057.59,25703750.2,19077894.14,8273644.794,14102813.78,941283812.5,21778507.5,28802875.98,50199597.88,15647783.3,35733840.87
HMDB01476,3-hydroxyanthranilate,1000840.422,1411554.282,885276.279,1023725.796,833604.381,1116941.514,1250557.323,1043497.836,1847328.429,1924376.712,1530997.317,1020730.044,849725.427,1233504.633,1346289.555,1281936.567,1649447.664,1453904.229
HMDB00232,quinolinate,12715609.11,24587753.48,12812061.84,11930702.01,14019257.51,11045749.76,52521060.36,17621507.1,7896523.113,6271347.564,9041018.052,14547278.82,14695364.24,19229995.2,15395971.68,18181949.41,9752478.84,10273880.66
HMDB06488,2-acetamido-5-oxopentanoate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMDB06357,(Z)-but-2-ene-123-tricarboxylate,1225371.111,686219.547,482809.965,48132.63,501152.187,938827.419,6245921.487,352267.263,1529923.341,2493267.462,223900.749,1258477.89,435349.59,862521.9,306656.319,153323.337,596676.393,1318887.177
HMDB01138,N-acetyl-L-glutamate,5928295.632,6327999.159,5869599.054,8886690.738,5770816.011,4277806.785,7263675.846,5494817.964,4672750.104,3665435.208,4244849.658,3600250.17,5684657.172,5437393.143,4414162.569,4294087.935,5681296.518,5020531.734
HMDB00099,L-cystathionine,641355.36,284473.266,232575.453,717660.6,200110.92,101759.64,2207455.596,0,90950.64,140168.892,38546.64,1009656.6,414215.997,671227.146,29235.24,0,0,613928.163
HMDB02022,N1-(5-Phospho-D-ribosyl)glycinamide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METPA0585,Sedoheptulose 7-phosphate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMDB60274,"sedoheptulose 1,7-bisphosphate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMDB00017,4-pyridoxate,12087761.62,54858597.9,8534726.424,1406590.041,5967011.694,7050004.455,12126638.08,62264430.15,31312203.42,1759884.45,3929475.225,14713073.98,6403224.951,5474183.79,4994156.172,12054857,9593861.421,7404858.273
HMDB60278,fructoseglycine,25422512.93,12242949.51,9962539.872,16616161.17,26222942.43,9440582.028,18695136.83,17213386.35,20706254.75,24775582.62,15133239.25,7656611.868,12090261.06,16786575.32,30760349.2,17235989.12,85997504.16,25981262.31
NA,Sulfate derivative of norepinephrine,32405.64,41686.917,32337.369,0,24547.842,10239.489,313629.684,55634.091,20066.202,23459.49,0,120823.032,0,53531.361,0,88879.08,35284.158,42657.702
METPA0491,N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide,0,0,0,0,0,0,16338.699,0,0,0,0,0,0,0,0,0,0,0
HMDB00847,nonanoate,34461973.17,33539106.69,36263759.1,39374453.16,26368766.13,46193889.15,35110267.11,33385216.41,35153281.62,50674189.5,47565554.7,39367606.17,32108355.15,40395570.9,43154073.42,36619804.92,53802453.03,31834277.07
HMDB05175,(4-hydroxy-3-methoxyphenyl)acetaldehyde,8194586.124,10249135.37,4833656.838,24181304.39,3711970.176,9215296.263,7024430.805,3876540.609,8509620.159,4997835.639,5023866.588,15976317.88,10068181.23,7124593.158,4350903.294,5156079.048,6599057.082,21526861.33
HMDB60287,4-hydroperoxy-2-nonenal,66783328.08,113842343.7,86802255.03,70974431.37,54025461.36,60598801.27,83050032.27,78903746.22,57861563,58624551.75,40852014.36,59659767.54,49193237.58,93421722.84,55398359.01,55351548.89,74565980.88,46361830.95
HMDB00784,Azelaic acid,18056241.66,22457863.94,23008149.75,22225039.32,20564395.94,16390725.26,16497908.72,19902073.43,21513562.53,33703773.29,13707214.61,16493965.45,15324241.19,17819215.64,18446314.51,25991495.75,24254039.02,18220161.51
HMDB00210,(R)-Pantothenate,3530877.582,4947250.716,2437939.242,64969.914,215270.4,6999384.072,4766324.151,8737600.587,0,19852.554,374381.79,3295490.244,5394247.941,6655913.604,1430764.14,1223275.668,0,1761313.461
HMDB00033,carnosine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,gama-L-glutamyl-L-alpha-aminobutyrate,784953.738,460643.82,486376.839,341785.947,461568.228,379604.163,369642.543,243752.574,256598.874,208992.27,655747.506,854515.488,438877.359,451859.487,229161.156,1371543.6,941647.179,306772.623
HMDB06790,Galactosylglycerol,3647529.438,1743118.32,1976109.021,3006686.367,1541677.323,3017884.704,3052782.666,2604329.934,2000449.5,2242812.168,1630917.27,3625930.413,2304111.288,2082752.379,1162608.303,4578109.584,2128542.675,18237851.85
NA,S-[2-carboxy-1-(1 H-imidazol-4-yl)ethyl]-L-cysteine,3686897.397,5436610.458,2910474.573,5947318.305,4012215.855,2971796.538,3058857.543,3030045.399,3216809.565,2990721.009,3729255.366,2753876.802,3837596.478,3412091.256,5181358.998,6629186.034,3693103.95,2529174.687
NA,N-acetyl-seryl-aspartate,273781.896,651214.38,507641.403,403645.884,183421.203,304294.974,912185.94,678979.671,496788.249,725933.241,343328.49,395937.918,87035.502,317960.88,631791.744,1454124.264,404820.318,516379.5
HMDB00425,3-Deoxy-D-glycero-D-galacto-2-nonulosonic acid,17384911.4,15155235.15,16211373.37,22231050.05,21444907.87,13320761.15,21001478.7,27293969.63,31132366.27,42045036.34,21925453.47,25362926.46,17382233.56,13274152.19,15792407.6,27952490.66,17003859.76,29938820.77
NA,2-keto-3-deoxy-D-glycero-D-galactononic acid 9-phosphate,0,0,0,0,0,0,0,0,37023.597,39123.396,0,0,0,0,0,14317.602,0,0
HMDB04586,Perillic acid,74634917.41,71217698.54,38816647.35,93467212.25,44273026.52,61991094.66,49406267.72,35990695.2,91870547.78,67015923.05,112517424.2,73613592.62,78488454.29,64348200.89,86636486.54,46621141.14,65978867.51,26846122.86
NA,"trans-4,5-epoxy-2(E)-decenal",21010002.5,15925654.66,14650842.14,25743109.4,11985628.45,18636544.42,7905233.322,11061754.82,18408231.08,23195264.84,15018104.48,9461477.148,28694118.27,13045761.17,16516781.32,10506106.12,30888510.64,11326673.45
HMDB00511,caprate,124775553.4,95839974.8,79710392.03,102639501.6,61504036.02,82897283.74,56949639.84,55435263.95,113246018.7,62534708.7,45452980.42,47781527.78,86584509.07,46043993.7,52311119.75,112238933.9,60835683.45,133382421.9
HMDB02203,w-hydroxydecanoicacid,21167076.92,28588822.26,36069347.76,45885507.2,13540307.24,19446809.56,25204059.27,23567781.63,17599142.22,31432501.01,13337777.27,14857508.99,58750425.71,25603202.48,34347498.19,13118795.42,36001781.49,9386780.49
HMDB00715,kynurenate,1177243.413,2661715.482,1302059.745,1218976.122,1177189.815,1702813.23,3601813.785,1621953.582,1482726.66,2060709.447,1244557.803,6012296.478,1287319.473,3199014.153,710459.877,1634694.579,1947365.292,873013.731
HMDB00052,N(omega)-(L-Arginino)succinate,26175.942,0,47846.457,141715.143,78423.387,0,12935.808,15208.713,0,27350.271,22057.308,123502.962,28185.171,180722.805,36094.104,30725.052,11195.712,52182.78
HMDB06555,dIMP,99179.772,109978.086,88660.119,42751.44,71597.127,70423.422,286674.345,131967.342,132394.746,44785.896,208882.818,155008.515,68543.865,88765.56,52484.739,384450.366,252683.112,112328.769
HMDB00929,L-tryptophan,659922663.5,341175223,482240247.9,623272799,469525755,689702845.7,505444893.9,463274959.1,681328954.6,507414427.6,694766618.3,516422563.3,801136524,332267700.7,567403884.7,677299486.2,644266579.3,601921993.2
