,3PG-Ser,Ser-input,Ser-Gly,Gly-input,G6P-R5P,PYR-TCA-1,PYR-TCA-2,Asp-input,IMP-Syn,IMP-input,UMP-Syn,UMP-input
II_HCT_DMSO_0
Replicate 1,0.09280644014089068,0.7856035028591093,0.710902751,0.0,0.0,0.0,0.41848893114995306,2.709707880850047,0.08275078100000001,0.0,0.0,0.07760308
Replicate 2,0.06211432869403493,0.8162956143059651,0.710902751,0.0,0.08275078100000001,0.0,0.4175481056854955,2.7106487063145046,0.08275078100000001,0.0,0.0,0.07760308
Replicate 3,0.06373611087338257,0.8146738321266174,0.710902751,0.0,0.0,0.0,0.2560955625512806,2.8721012494487197,0.08275078100000001,0.0,0.0,0.07760308
II_HCT_DMSO_60
Replicate 1,0.0011382331712184075,0.16636895882878158,0.0,0.6394857433871797,0.043119615718665724,0.0580885666181532,0.005638173311474539,3.0962559144018584,0.01133377338717962,0.0714170076128204,0.031785842331486104,0.0458172376685139
Replicate 2,0.0013036177496957835,0.16620357425030421,0.0,0.6380456734527047,0.04068166410384393,0.055969377239466336,0.019552788761658196,3.0834626066500146,0.009893703452704695,0.07285707754729531,0.03078796065113924,0.04681511934886076
Replicate 3,0.001402080684974944,0.16610511131502506,0.0,0.636162980148283,0.040281634264568204,0.046908874880986946,0.008856296736674634,3.104702264498624,0.00801101014828297,0.07473977085171704,0.032270624116285236,0.04533245588371477
II_HCT_CPI_0
Replicate 1,0.05906973098404456,0.8193402120159554,0.710902751,0.0,0.08275078100000001,0.0,1.1668127025613366,1.9613841094386635,0.08275078100000001,0.0,0.0,0.07760308
Replicate 2,0.15466309819141494,0.7237468448085851,0.710902751,0.0,0.08275078100000001,0.0,1.6916388688391781,1.4365579431608217,0.08275078100000001,0.0,0.0,0.07760308
Replicate 3,0.057378017241345725,0.8210319257586542,0.710902751,0.0,0.0,0.0,1.370608530333151,1.7575882816668489,0.08275078100000001,0.0,0.0,0.07760308
II_HCT_CPI_60
Replicate 1,0.0010574067583533418,0.16644978524164666,0.0,0.6386235163560885,0.0408581974537813,0.02530301093393368,0.0807629047460951,3.052517547417664,0.010471546356088463,0.07227923464391155,0.03038665109769284,0.047216428902307164
Replicate 2,0.0011533575721486707,0.16635383442785132,0.0,0.6354753474298022,0.03769558163332092,0.01385613989012081,0.07724350202702449,3.0674693742863735,0.007323377429802203,0.07542740357019781,0.03037220420351872,0.04723087579648129
Replicate 3,0.0010571004546871584,0.16645009154531284,0.0,0.6374180108757942,0.04047491442590989,0.01615494990936098,0.07556071695626315,3.0676900186844915,0.00926604087579419,0.07348474012420582,0.031208873550115698,0.04639420644988431
